pair,category,dC_per_use,dWaste_g,tau_star
1,laundry_detergent,-0.0045,1.5,0
2,coffee,-0.5779,4.3342,0
3,surface_cleaner,-1.3015,71.1538,0
5,razor,0.0958,0.5333,179.7031
6,hand_soap,-1.6254,59.8649,0
7,dish_soap,-0.268,18.4946,0
8,paper_towels,-0.0098,2.4077,0
9,water,-0.0598,9.736,0
10,yogurt,-0.0751,0.8555,0
11,hand_soap,-1.2079,52.5,0
12,body_wash,-3.8249,62.4771,0
13,surface_cleaner,-0.995,75,0
14,surface_cleaner,-1.5175,88.75,0
15,dish_soap,-1,50,0
16,deodorant,-9,0,
17,shampoo_body_wash,-2.3889,55.3371,0
20,surface_cleaner,-1.59,98,0
