pair_id,category,product_name,retailer,price_usd,net_contents_value,net_contents_unit,uses_per_package,packaging_format,refill_or_concentrate_flag,url,notes
1,laundry_detergent,Seventh Generation Free & Clear Liquid Laundry Detergent 90 fl oz,Target,12.99,90,fl_oz,60 loads,HDPE jug with cap,0,https://www.target.com/p/seventh-generation-liquid-laundry-detergent-free-38-clear-90-fl-oz/-/A-84215092,"Accessed 2026-07-17. Full-package one-time price; conventional same-brand Free & Clear format."
1,laundry_detergent,Seventh Generation EasyDose Free & Clear Ultra-Concentrated Laundry Detergent 23.1 fl oz,Target,13.99,23.1,fl_oz,66 loads,compact plastic auto-dose bottle,1,https://www.target.com/p/seventh-generation-free-38-clear-ultra-concentrated-66-loads-laundry-detergent-8211-23-1-fl-oz/-/A-76158733,"Accessed 2026-07-17. Full-package one-time price; same-brand Free & Clear concentrate and a clean matched comparison."
2,coffee,Starbucks Pike Place Roast Medium Roast K-Cup Pods 22ct,Target,20.99,22,pods,22 cups,plastic pods plus foil and paperboard carton,0,https://www.target.com/p/starbucks-keurig-pike-place-roast-medium-roast-coffee-pods-22-k-cups/-/A-79578014,"Accessed 2026-07-17. Full-package one-time price; promotion excluded."
2,coffee,Starbucks Pike Place Roast Medium Ground Coffee 12 oz,Target,12.79,12,oz,~34 6-fl-oz cups,laminated flexible coffee bag,1,https://www.target.com/p/starbucks-medium-roast-ground-coffee-8212-pike-place-roast-8212-100-arabica-8212-1-bag-12-oz/-/A-12954151,"Accessed 2026-07-17. Full-package one-time price; estimated cup count assumes 10 g ground coffee per 6-fl-oz cup. Same roast as pod row."
3,surface_cleaner,Windex Original Blue Window and Glass Cleaner Spray 26 fl oz,Target,3.99,26,fl_oz,1 spray bottle,PET trigger bottle,0,https://www.target.com/p/windex-original-blue-glass-cleaner-spray-26-fl-oz/-/A-53411349,"Accessed 2026-07-17. Full-package one-time price."
3,surface_cleaner,Windex Original Blue Window and Glass Cleaner Refill 67.6 fl oz,Target,6.99,67.6,fl_oz,2.6 spray-bottle fills,large plastic refill bottle with cap,1,https://www.target.com/p/windex-glass-cleaner-original-blue-refill-bottle-2l-67-6oz/-/A-12972711,"Accessed 2026-07-17. Full-package one-time price; same formula family and 67.6/26 = 2.60 nominal fills."
4,beverage,Coca-Cola Original Taste 12 fl oz cans 12-pack,Target,8.89,12,fl_oz,12 servings,aluminum cans with paperboard carton,0,https://www.target.com/p/coca-cola-12pk-12-fl-oz-cans/-/A-12953464,"Accessed 2026-07-17. Full 12-pack price; net contents are per container."
4,beverage,Coca-Cola Original Taste 20 fl oz single bottle,Target,2.69,20,fl_oz,1 serving,PET bottle with plastic cap and label,0,https://www.target.com/p/coca-cola-20-fl-oz-bottle/-/A-12953529,"Accessed 2026-07-17. Full single-bottle price."
4,beverage,Coca-Cola de Mexico 355 mL glass bottles 4-pack,Walmart,7.22,12,fl_oz,4 servings,glass bottles with metal caps and carton,0,https://www.walmart.com/ip/Coca-Cola-Cane-Sugar-Mexican-Soda-Pop-355-ml-4-Pack-Glass-Bottle/220829933,"Accessed 2026-07-17. Full 4-pack one-time price; each bottle is 355 mL (about 12.0 fl oz). Cane-sugar formulation differs from U.S. Coke, so use for packaging arithmetic only, not a clean price-demand comparison."
5,razor,Gillette Sensor3 Comfort Disposable Manual Razors 12ct,Walmart,14.97,12,razors,up to 144 shaves,plastic handle plus integrated cartridge and blister/cardboard pack,0,https://www.walmart.com/ip/Gillette-Sensor3-Comfort-Men-s-Disposable-Razors-12-Razors/2912310135,"Accessed 2026-07-17. Full-package one-time price; manufacturer states up to 12 shaves per razor."
