idx,pair_id,category,product,flag,cost_per_unit,waste_g_per_unit,note,tau_011,tau_030,tau_100
0,1,laundry_detergent,Seventh Generation Free & Clear Liquid Laundry Detergen,0,0.2165,2.3333,HDPE jug 90oz ~140g; per load,0.2168,0.2172,0.2188
1,1,laundry_detergent,Seventh Generation EasyDose Free & Clear Ultra-Concentr,1,0.212,0.8333,compact auto-dose bottle ~55g; per load,0.2121,0.2122,0.2128
2,2,coffee,Starbucks Pike Place Roast Medium Roast K-Cup Pods 22ct,0,0.9541,4.8636,pods 3.5g each + carton 30g; per cup,0.9546,0.9555,0.959
3,2,coffee,Starbucks Pike Place Roast Medium Ground Coffee 12 oz,1,0.3762,0.5294,coffee bag ~18g; per cup,0.3762,0.3763,0.3767
4,3,surface_cleaner,Windex Original Blue Window and Glass Cleaner Spray 26 ,0,3.99,100,PET trigger bottle ~100g; per 26oz fill,4.001,4.02,4.09
5,3,surface_cleaner,Windex Original Blue Window and Glass Cleaner Refill 67,1,2.6885,28.8462,"refill bottle ~75g, trigger reused; per 26oz fill",2.6916,2.6971,2.7173
6,4,beverage,Coca-Cola Original Taste 12 fl oz cans 12-pack,0,0.7408,26.8333,cans 13.5g + 12pk carton 160g; per 12oz serving,0.7438,0.7489,0.7677
7,4,beverage,Coca-Cola Original Taste 20 fl oz single bottle,0,1.614,15.6,PET 20oz scaled to 12oz-serving basis (special),1.6157,1.6187,1.6296
8,4,beverage,Coca-Cola de Mexico 355 mL glass bottles 4-pack,0,1.805,227,glass 355ml ~210g + cap + 4pk carton; per serving,1.83,1.8731,2.032
9,5,razor,Gillette Sensor3 Comfort Disposable Manual Razors 12ct,0,0.104,0.8333,"disposable razors 10g each, 12 shaves each; per shave",0.104,0.1042,0.1048
10,5,razor,Gillette Mach3 Handle with 10 Blade Refills,1,0.1998,0.3,cartridges 4.5g each (handle durable); per shave,0.1998,0.1999,0.2001
11,6,hand_soap,Softsoap Crisp Clean Antibacterial Liquid Hand Soap Pum,0,2.97,70,pump bottle ~70g; per 11.25oz bottle,2.9777,2.991,3.04
12,6,hand_soap,Softsoap Crisp Clean Antibacterial Liquid Hand Soap Ref,1,1.3446,10.1351,"refill jug ~45g, pump reused; per bottle-fill",1.3457,1.3476,1.3547
13,7,dish_soap,Dawn Ultra Original Dishwashing Liquid 18 fl oz,0,2.94,40,Dawn 18oz bottle ~40g; per bottle,2.9444,2.952,2.98
14,7,dish_soap,Dawn Ultra Original Dishwashing Soap Refill Jug 67 fl o,1,2.672,21.5054,refill jug 67oz ~80g; per bottle-fill,2.6744,2.6785,2.6935
15,8,paper_towels,"Bounty Select-A-Size Paper Towels, 12 Double Rolls, 82 ",0,0.0228,2.6717,cores+wrap; used sheet 2.5g each becomes trash; per sheet-use,0.0231,0.0236,0.0255
16,8,paper_towels,Wettex Original Swedish Dishcloths 10-pack,1,0.013,0.264,"cloths 18g ea, ~75 uses each then discarded; per use",0.013,0.0131,0.0133
17,9,water,Great Value Purified Drinking Water 16.9 fl oz bottles ,0,0.1533,10,PET water 16.9oz ~10g; per bottle-serving,0.1544,0.1563,0.1633
18,9,water,Brita Standard 10-Cup Tahoe Water Filter Pitcher with 1,1,0.0935,0.264,"Brita filter ~80g per 40gal (pitcher durable, excluded); per 16.9oz",0.0935,0.0936,0.0938
19,10,yogurt,Chobani Plain Nonfat Greek Yogurt single cup 5.3 oz,0,0.2623,1.8868,PP cup+foil ~10g; per oz,0.2625,0.2628,0.2642
20,10,yogurt,Chobani Plain Nonfat Greek Yogurt tub 32 oz,1,0.1872,1.0312,PP tub ~33g; per oz,0.1873,0.1875,0.1882
21,11,hand_soap,Method Foaming Hand Wash Sea Minerals 10 fl oz,0,3.99,65,Method pump 10oz ~65g; per bottle,3.9972,4.0095,4.055
