pair_id,category,product_name,retailer,price_usd,net_contents_value,net_contents_unit,uses_per_package,packaging_format,refill_or_concentrate_flag,url,notes
1,laundry_detergent,Tide Original Liquid 92 fl oz,Target,,92,fl_oz,64,HDPE jug,0,,
1,laundry_detergent,Tide Ultra Concentrated / refill pouch equivalent,Target,,,fl_oz,,flexible pouch,1,,
2,coffee,Keurig K-Cup pods 24ct,Amazon,,24,pods,24,plastic pod + foil,0,,
2,coffee,Same brand ground coffee 12 oz bag,Amazon,,12,oz,~34 cups,flexible bag,1,,
3,surface_cleaner,Windex spray bottle 23 fl oz,Walmart,,23,fl_oz,,PET trigger bottle,0,,
3,surface_cleaner,Refill concentrate/tablet + reusable bottle,Walmart,,,fl_oz,,tablet + sachet,1,,
4,beverage,"Coca-Cola 12 fl oz can (12-pack, per unit)",Target,,12,fl_oz,1,aluminum can,0,,
4,beverage,Coca-Cola 20 fl oz PET bottle,Target,,20,fl_oz,1,PET bottle,0,,
4,beverage,Coca-Cola 12 fl oz glass bottle,Target,,12,fl_oz,1,glass bottle,0,,
5,razor,Disposable razor 12-pack (per razor),Amazon,,12,razors,~5 shaves each,plastic handle+head,0,,
5,razor,Cartridge system: handle + 8 cartridges,Amazon,,8,cartridges,~5 shaves each,cartridge only waste,1,,
6,hand_soap,Liquid hand soap pump 12 fl oz,Target,,12,fl_oz,,PET pump bottle,0,,
6,hand_soap,Hand soap refill pouch 34 fl oz,Target,,34,fl_oz,,flexible pouch,1,,
7,dish_soap,Dawn dish soap 28 fl oz,Walmart,,28,fl_oz,,PET bottle,0,,
7,dish_soap,Dish soap refill 56-90 fl oz,Walmart,,,fl_oz,,larger PET/pouch,1,,
8,paper_towels,Paper towels 6 rolls (per roll),Target,,6,rolls,,paper+plastic wrap,0,,
8,paper_towels,Reusable cloth towels 10-pack,Amazon,,10,cloths,~50 uses each,minimal,1,,
9,water,Bottled water 24x16.9oz (per bottle),Walmart,,16.9,fl_oz,1,PET bottle,0,,
9,water,Water filter pitcher + 1 filter (per ~40 gal),Walmart,,40,gal,,filter cartridge,1,,
10,yogurt,Single-serve yogurt cups 4-pack (per oz),Target,,5.3,oz_per_cup,1,PP cup+foil,0,,
10,yogurt,Large yogurt tub 32 oz,Target,,32,oz,,PP tub,1,,
