USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
MA	2500100000	00000000	County subdivisions not defined	F	0	2047128716	0.	790.401	41.79903	-70.21186                                                                                                     
MA	2500103690	00618248	Barnstable Town city	F	155215093	42830773	59.929	16.537	41.661478	-70.356951                                                                                                     
MA	2500107175	00619412	Bourne town	A	105323980	31595416	40.666	12.199	41.71746	-70.591824                                                                                                               
MA	2500107980	00618249	Brewster town	A	59415921	6646461	22.941	2.566	41.747513	-70.066223                                                                                                               
MA	2500112995	00618250	Chatham town	A	41881402	43630064	16.171	16.846	41.621629	-69.981956                                                                                                              
MA	2500116775	00618252	Dennis town	A	53342892	4563550	20.596	1.762	41.706123	-70.164823                                                                                                                 
MA	2500119295	00619414	Eastham town	A	36176094	30406552	13.968	11.74	41.841572	-69.988926                                                                                                               
MA	2500123105	00618253	Falmouth town	A	114107075	26911149	44.057	10.39	41.594889	-70.599245                                                                                                             
MA	2500129020	00618254	Harwich town	A	54089038	5724239	20.884	2.21	41.697108	-70.070167                                                                                                                 
MA	2500139100	00618256	Mashpee town	A	60590538	10000498	23.394	3.861	41.617623	-70.492713                                                                                                               
MA	2500151440	00618257	Orleans town	A	36683277	22167409	14.163	8.559	41.765676	-69.966195                                                                                                               
MA	2500155500	00618258	Provincetown town	A	25046216	20232203	9.67	7.812	42.056927	-70.190475                                                                                                            
MA	2500159735	00618259	Sandwich town	A	111028871	3841614	42.868	1.483	41.7132	-70.485737                                                                                                                
MA	2500170605	00618260	Truro town	A	54268861	13686727	20.953	5.284	42.013557	-70.064151                                                                                                                 
MA	2500174385	00618261	Wellfleet town	A	51240906	40455533	19.784	15.62	41.916805	-70.0271                                                                                                               
MA	2500182525	00618262	Yarmouth town	A	62563418	10541505	24.156	4.07	41.674949	-70.226014                                                                                                               
MA	2500300555	00619415	Adams town	A	59281213	183353	22.889	0.071	42.62556	-73.119828                                                                                                                    
MA	2500300975	00618263	Alford town	A	29801961	105437	11.507	0.041	42.253544	-73.426528                                                                                                                  
