municipality,year,payt,svc_type,hh_total,hh_trash,hh_recycling,trash_tons,recyc_tons,bulky_incl,lbs_hh_yr,coverage
Abington,2021,0,Curbside,6669.0,4604.0,4600.0,4413.84,1566.98,1,1917.393570807993,0.6903583745689009
Acton,2021,1,Drop-off,10439.0,3761.0,4305.0,2099.63,,1,1116.527519276788,0.36028355206437396
Acushnet,2021,0,Curbside,3812.0,3812.0,3812.0,3574.78,912.18,0,1875.5403987408185,1.0
Agawam,2021,0,Curbside,12187.0,8912.0,8912.0,7149.0,2293.0,0,1604.3536804308796,0.7312710265036514
Amesbury,2021,0,Curbside,5643.0,5443.0,5443.0,4885.6,1832.32,1,1795.1864780451956,0.9645578592947014
Andover,2021,0,Curbside,11493.0,9009.0,9009.0,10639.0,3326.0,1,2361.860361860362,0.7838684416601409
Aquinnah,2021,1,Drop-off,400.0,250.0,250.0,113.0,86.0,0,904.0,0.625
Arlington,2021,0,Curbside,20311.0,20311.0,20311.0,12414.0,5538.0,1,1222.3918073950076,1.0
Ashfield,2021,1,Drop-off,717.0,517.0,517.0,282.06,,0,1091.1411992263056,0.7210599721059973
Ashland,2021,1,Curbside,6326.0,5956.0,5956.0,3045.67,1979.57,1,1022.7233042310276,0.9415112235219728
Attleboro,2021,1,Curbside,15020.0,14416.0,14416.0,9979.98,4632.21,1,1384.569922308546,0.9597869507323569
Auburn,2021,0,Curbside,7406.0,5185.0,5185.0,4672.67,1288.74,0,1802.3799421407907,0.7001080205238995
Avon,2021,0,Curbside,1486.0,1454.0,1454.0,1571.9,420.83,0,2162.1733149931224,0.9784656796769852
Ayer,2021,1,Drop-off,3300.0,1321.0,1321.0,708.35,243.15,1,1072.445117335352,0.4003030303030303
Barnstable,2021,0,Drop-off,23772.0,9271.0,9271.0,9232.0,0.0,0,1991.586668104843,0.3899966346962813
Barre,2021,1,Drop-off,2124.0,919.0,919.0,613.65,,1,1335.4733405875952,0.4326741996233522
Becket,2021,1,Drop-off,1950.0,1950.0,1950.0,393.14,,0,403.2205128205128,1.0
Bedford,2021,0,Curbside,6394.0,4639.0,4639.0,3970.39,1448.64,1,1711.7439103255012,0.7255239286831404
Belmont,2021,0,Curbside,9810.0,9810.0,9810.0,6269.91,2968.5,1,1278.269113149847,1.0
Berlin,2021,0,Drop-off,1589.0,841.0,841.0,655.0,,1,1557.6694411414983,0.5292636878539962
Bernardston,2021,1,Drop-off,803.0,650.0,650.0,341.58,,0,1051.0153846153846,0.8094645080946451
Beverly,2021,0,Curbside,18200.0,13075.0,13075.0,12024.2,,1,1839.265774378585,0.7184065934065934
Billerica,2021,0,Curbside,15294.0,13654.0,13654.0,13163.0,4331.0,1,1928.0796836091988,0.8927684059108147
Blackstone,2021,0,Curbside,3573.0,3573.0,3573.0,2599.23,,0,1454.928631402183,1.0
Blandford,2021,0,Drop-off,900.0,300.0,300.0,178.76,0.0,0,1191.7333333333333,0.3333333333333333
Bolton,2021,1,Drop-off,1980.0,1980.0,1980.0,673.53,13.22,1,680.3333333333334,1.0
Boston,2021,0,Curbside,322000.0,272500.0,272500.0,204600.0,38717.0,1,1501.651376146789,0.8462732919254659
Bourne,2021,0,Both,8169.0,8169.0,8169.0,6165.99,7821.72,0,1509.6070510466398,1.0
Boxborough,2021,0,Drop-off,2028.0,996.0,996.0,893.59,324.57,1,1794.3574297188754,0.4911242603550296
Boxford,2021,1,Curbside,3118.0,2956.0,3118.0,1833.0,1060.0,0,1240.1894451962112,0.9480436177036562
Braintree,2021,0,Both,12300.0,10619.0,10619.0,12407.95,3168.74,1,2336.9337979094075,0.8633333333333333
Brewster,2021,1,Drop-off,7147.0,3777.0,3777.0,1213.31,,0,642.4728620598358,0.5284734853784805
Brockton,2021,1,Curbside,29368.0,26425.0,26425.0,27846.0,8537.0,1,2107.5496688741723,0.8997888858621629
Brookfield,2021,1,Drop-off,949.0,605.0,605.0,455.78,161.08,0,1506.7107438016528,0.6375131717597471
Brookline,2021,1,Curbside,24436.0,14547.0,14547.0,8599.5,4790.0,1,1182.3056300268097,0.5953101980684237
Buckland,2021,1,Drop-off,683.0,620.0,620.0,241.42,,0,778.7741935483871,0.9077598828696926
Burlington,2021,0,Curbside,7250.0,7055.0,7055.0,6036.22,2332.0,1,1711.1892274982283,0.973103448275862
Cambridge,2021,0,Curbside,50000.0,32500.0,44700.0,13881.0,8965.0,1,854.2153846153847,0.65
Canton,2021,0,Curbside,7432.0,7432.0,7432.0,6884.97,2035.79,1,1852.7906350914961,1.0
Carlisle,2021,0,Drop-off,2029.0,1939.0,1939.0,1831.94,,1,1889.5719443011862,0.9556431739773288
Charlemont,2021,1,Drop-off,471.0,440.0,440.0,147.29,,0,669.5,0.9341825902335457
Chatham,2021,0,Drop-off,5873.0,3160.0,3160.0,5070.0,316.62,1,3208.8607594936707,0.5380555082581304
Chelmsford,2021,0,Curbside,13564.0,12733.0,12733.0,10744.63,3361.62,1,1687.682400062829,0.9387348864641699
Cheshire,2021,1,Drop-off,1358.0,829.0,829.0,481.14,,0,1160.7720144752714,0.6104565537555229
Chester,2021,1,Drop-off,502.0,283.0,283.0,160.3,,0,1132.8621908127209,0.5637450199203188
Chesterfield,2021,1,Drop-off,554.0,208.0,208.0,142.98,,0,1374.8076923076924,0.37545126353790614
Chicopee,2021,1,Curbside,24320.0,18925.0,18925.0,12241.51,4407.61,0,1293.6866578599736,0.7781661184210527
Chilmark,2021,1,Drop-off,873.0,350.0,350.0,96.0,80.0,0,548.5714285714286,0.4009163802978236
Clinton,2021,1,Curbside,4543.0,4278.0,4278.0,2485.14,1046.17,0,1161.8232819074333,0.9416685009905349
Cohasset,2021,1,Drop-off,3338.0,3181.0,3181.0,1419.41,0.0,0,892.4300534423137,0.9529658478130617
Colrain,2021,1,Drop-off,679.0,645.0,645.0,252.52,,0,783.0077519379845,0.9499263622974963
Concord,2021,1,Curbside,5500.0,3616.0,3700.0,2504.8,0.0,0,1385.3982300884957,0.6574545454545454
Conway,2021,0,Drop-off,659.0,640.0,640.0,437.39,,0,1366.84375,0.9711684370257967
Cummington,2021,1,Drop-off,423.0,293.0,293.0,131.64,,0,898.5665529010239,0.6926713947990544
Danvers,2021,0,Both,15468.0,7674.0,7674.0,6773.61,,1,1765.340109460516,0.4961210240496509
Dartmouth,2021,1,Both,11563.0,10172.0,10172.0,5703.35,0.0,0,1121.3822257176564,0.8797024993513795
Dedham,2021,0,Curbside,8270.0,8270.0,8270.0,6683.18,2692.86,1,1616.2466747279323,1.0
Deerfield,2021,1,Drop-off,1774.0,1285.0,1285.0,526.79,,0,819.9066147859922,0.7243517474633596
Dennis,2021,0,Drop-off,14404.0,7267.0,7938.0,3870.0,,0,1065.0887573964496,0.5045126353790613
Dighton,2021,1,Curbside,2909.0,2809.0,2809.0,1798.43,686.71,0,1280.4770380918476,0.9656239257476796
Douglas,2021,0,Drop-off,3220.0,1337.0,1337.0,1145.0,,0,1712.7898279730741,0.4152173913043478
Dover,2021,0,Drop-off,2142.0,2142.0,2142.0,1080.0,0.0,0,1008.4033613445379,1.0
Dracut,2021,0,Curbside,12304.0,10710.0,10770.0,10627.0,3082.0,1,1984.500466853408,0.8704486345903771
Dunstable,2021,1,Curbside,1116.0,342.0,342.0,185.53,112.72,0,1084.970760233918,0.3064516129032258
Duxbury,2021,1,Drop-off,6361.0,5816.0,5816.0,2653.0,,0,912.3108665749656,0.914321647539695
East Bridgewater,2021,1,Both,4466.0,2917.0,2917.0,3059.0,913.0,1,2097.360301679808,0.6531571876399462
East Longmeadow,2021,1,Curbside,5700.0,5700.0,5700.0,3765.3,,0,1321.157894736842,1.0
Eastham,2021,0,Drop-off,5686.0,3894.0,3894.0,3383.43,,0,1737.7657935285054,0.6848399577910658
Edgartown,2021,1,Drop-off,3518.0,2000.0,2000.0,975.0,670.0,0,975.0,0.5685048322910745
Egremont,2021,0,Drop-off,835.0,835.0,835.0,422.17,,0,1011.185628742515,1.0
Erving,2021,0,Curbside,588.0,588.0,588.0,222.67,,0,757.3809523809524,1.0
Fairhaven,2021,0,Curbside,6820.0,6561.0,6561.0,5516.0,1583.27,1,1681.4509983234263,0.9620234604105572
Fall River,2021,0,Both,36884.0,31461.0,31461.0,28895.23,9926.0,1,1836.8920250468834,0.8529714781477064
Falmouth,2021,0,Both,25000.0,21000.0,21000.0,12562.11,3326.06,0,1196.3914285714286,0.84
