,coef,se,t,p
Intercept,10.45049319947526,0.6580687977255545,15.880548106208197,8.641992973927739e-57
C(year)[T.2022],-0.04265197625689124,0.015221189274615783,-2.802144792195804,0.005076408439398698
C(year)[T.2023],-0.057129102296181,0.016804842208487845,-3.3995619588338677,0.0006749388610516057
C(year)[T.2024],-0.05451888417596848,0.01737672052109603,-3.137466825790309,0.001704145576411321
C(year)[T.2025],-0.07893822748886123,0.018884486440258818,-4.180056881005622,2.9143618831074138e-05
payt,-0.3924198994320064,0.030977723418541343,-12.667809513630308,8.916974607168858e-37
log_income,-0.46051159316928025,0.07442524061932894,-6.187572782259585,6.10976403514241e-10
hh_size,0.4506229403233036,0.06994254916888323,6.442758316332305,1.1732144307580335e-10
single_family_share,-0.7487436434645018,0.2492863563089282,-3.003548427402184,0.0026685107602760286
owner_share,1.4119944868139276,0.3640294050121552,3.878792392517797,0.00010497629579909601
log_density,0.09814351817514436,0.01695341229521478,5.7890126463122735,7.0801367737659984e-09
