municipality,price_found,context_snippet,source_url
Worcester,$1.00,"the point of sale or bring defective bags to 20 East Worcester Street, Monday through Friday from 9 a.m. to 4 p.m. for exchange. Prices Small yellow bags cost $1.00/bag (sold in sleeves of 10) Large yellow bags cost $1.75/bag (sold in sleeves of 5) Rules Small yellow city trash bags have a 15 pound weight limit Large",https://www.worcesterma.gov/trash-recycling/trash-disposal
Worcester,$1.75,"ter Street, Monday through Friday from 9 a.m. to 4 p.m. for exchange. Prices Small yellow bags cost $1.00/bag (sold in sleeves of 10) Large yellow bags cost $1.75/bag (sold in sleeves of 5) Rules Small yellow city trash bags have a 15 pound weight limit Large yellow city trash bags have a 30 pound weight limit Sched",https://www.worcesterma.gov/trash-recycling/trash-disposal
Brockton,$5,"reen “Brockton” bags. These bags can be purchased at local retailers, including supermarkets and drug stores, or at City Hall or the Recycle Depot at a cost of $5 for a roll of four bags or can be purchased online here . See separate instructions for bulk items and yard waste . Service provided to residents of",https://brockton.ma.us/city-departments/public-works/trash-recycling/
Lawrence,$11.00,"the container being replaced is damaged, the damaged container must be surrendered at the time of replacement. Pricing Item Price Overflow Bags (package of 5) $11.00 65-Gallon Trash Container $100.00 Annual Fee for Trash Container (Collection and Disposal Fee) $140.00 Pro-rated Monthly Fee for Trash Container (Collection an",https://www.cityoflawrence.com/159/Curbside-Trash-Collection
Lawrence,$10,"amaged, the damaged container must be surrendered at the time of replacement. Pricing Item Price Overflow Bags (package of 5) $11.00 65-Gallon Trash Container $100.00 Annual Fee for Trash Container (Collection and Disposal Fee) $140.00 Pro-rated Monthly Fee for Trash Container (Collection and Disposal Fee) $11.67 If you",https://www.cityoflawrence.com/159/Curbside-Trash-Collection
Lawrence,$14,"acement. Pricing Item Price Overflow Bags (package of 5) $11.00 65-Gallon Trash Container $100.00 Annual Fee for Trash Container (Collection and Disposal Fee) $140.00 Pro-rated Monthly Fee for Trash Container (Collection and Disposal Fee) $11.67 If you have any questions or for more information, please contact the Depart",https://www.cityoflawrence.com/159/Curbside-Trash-Collection
Taunton,$2.00,"ity Council has approved an increase to the purchase cost of City of Taunton Trash Bags. Effective Tuesday, June 30, 2026, the retail price will increase from $2.00 to $3.00 per bags and will still be sold by retailers in sleeves of five for $15.00. https://www.taunton-ma.gov/AgendaCenter/ViewFile/Agenda/_06092026-2875 ,",https://www.taunton-ma.gov/m/newsflash/Home/Detail/1313
Taunton,$3.00,"il has approved an increase to the purchase cost of City of Taunton Trash Bags. Effective Tuesday, June 30, 2026, the retail price will increase from $2.00 to $3.00 per bags and will still be sold by retailers in sleeves of five for $15.00. https://www.taunton-ma.gov/AgendaCenter/ViewFile/Agenda/_06092026-2875 , https:/",https://www.taunton-ma.gov/m/newsflash/Home/Detail/1313
Taunton,$15.00,"Bags. Effective Tuesday, June 30, 2026, the retail price will increase from $2.00 to $3.00 per bags and will still be sold by retailers in sleeves of five for $15.00. https://www.taunton-ma.gov/AgendaCenter/ViewFile/Agenda/_06092026-2875 , https://www.taunton-ma.gov/AgendaCenter/ViewFile/Minutes/_04142026-2818 Please ref",https://www.taunton-ma.gov/m/newsflash/Home/Detail/1313
Malden,$10,"venience. Additionally there is a cost savings associated with purchasing a trash tag. If you typically use about one large blue bag per week you are spending $104 per year on trash ($2 x 52 weeks). Since a black cart holds the equivalent volume of one large blue bag, you are saving $29 per year by purchasing a trash ta",https://cityofmalden.org/804/Trash-Tags
Malden,$2,"here is a cost savings associated with purchasing a trash tag. If you typically use about one large blue bag per week you are spending $104 per year on trash ($2 x 52 weeks). Since a black cart holds the equivalent volume of one large blue bag, you are saving $29 per year by purchasing a trash tag. How can I purchase t",https://cityofmalden.org/804/Trash-Tags
Malden,$29,"lue bag per week you are spending $104 per year on trash ($2 x 52 weeks). Since a black cart holds the equivalent volume of one large blue bag, you are saving $29 per year by purchasing a trash tag. How can I purchase trash tags? You can purchase your Trash Tag online or by visiting the City of Malden Treasurer’s Offic",https://cityofmalden.org/804/Trash-Tags
Malden,$75,"take your sticker home immediately. Purchase one online now How much does a trash tag cost? Residents will have the option of purchasing an annual hang tag for $75 per year which will renew each calendar year. If you purchase the trash tag in the middle of a calendar year, the purchase price will be prorated accordingly.",https://cityofmalden.org/804/Trash-Tags
Attleboro,$12.50,res Carrying Attleboro Trash Bags Stores Carrying Attleboro Trash Bags *Attleboro trash bags are sold in a 5 pack for $12.50 Store Location A & J Seabra 217-219 South Main St. Canaan Fuels 947 Newport Ave CVS 366 Was,http://www.cityofattleboro.us/1710/Stores-Carrying-Attleboro-Trash-Bags
Gloucester,$4.00,Home Departments Public Works Trash & Recycling Bag Purchasing Locations Bag Purchasing Locations Large Bags ($4.00 each sold in packs of 5) 7-11 - Bass Avenue Annie's - 300 Concord Street Building Center - 1 Harbor Loop Cape Ann Convenience - 2 Roger,https://gloucester-ma.gov/310/Bag-Purchasing-Locations
Gloucester,$2.00,y - 42 Washington Street The Senior Center* - 6 Manuel F. Lewis Street *Must be 65 or older to purchase at this location Small Bags ($2.00 each sold in packs of 5) Annie's - 90 Concord Street Building Center - 1 Harbor Loop Cape Ann Convenience - 2 Rogers Street Little Rive,https://gloucester-ma.gov/310/Bag-Purchasing-Locations
Gloucester,$25.00,e 65 or older to purchase at this location Single Bags Building Center - 1 Harbor Loop Bulk Item Stickers $25.00 Building Center - 1 Harbor Loop DPW - 28 Poplar Street APPLIANCE STICKERS $35.00 DPW - 28 Popla,https://gloucester-ma.gov/310/Bag-Purchasing-Locations
Gloucester,$35.00,Bulk Item Stickers $25.00 Building Center - 1 Harbor Loop DPW - 28 Poplar Street APPLIANCE STICKERS $35.00 DPW - 28 Poplar Street Other: Please note that the Department of Public Works ( DPW ) does not car,https://gloucester-ma.gov/310/Bag-Purchasing-Locations
Brookline,$27,"A 3-unit property may choose one 95-gallon trash cart for all units to share. A 95-gallon cart has an annual cost of $476. However, their annual rate will be ($275) x (3 units) = $825. New FY26 Cart Costs and Dimensions Cart Size Dimensions Quarterly Cost Annual Refuse Cost 35 gallon (Up to 2 tall kitchen bags) 20"" wide,",https://www.brooklinema.gov/3760/Cart-Purchase-Billing
Brookline,$82,"ay choose one 95-gallon trash cart for all units to share. A 95-gallon cart has an annual cost of $476. However, their annual rate will be ($275) x (3 units) = $825. New FY26 Cart Costs and Dimensions Cart Size Dimensions Quarterly Cost Annual Refuse Cost 35 gallon (Up to 2 tall kitchen bags) 20"" wide, 23"" deep, 39"" high",https://www.brooklinema.gov/3760/Cart-Purchase-Billing
Brookline,$68.75,"5. New FY26 Cart Costs and Dimensions Cart Size Dimensions Quarterly Cost Annual Refuse Cost 35 gallon (Up to 2 tall kitchen bags) 20"" wide, 23"" deep, 39"" high $68.75 quarterly $275 annually 65 gallon (Up to 4 tall kitchen bags) 27"" wide, 28"" deep, 41"" high $93.25 quarterly $373 annually 95 gallon (up to 7 tall kitchen bags)",https://www.brooklinema.gov/3760/Cart-Purchase-Billing
Brookline,$27,"Costs and Dimensions Cart Size Dimensions Quarterly Cost Annual Refuse Cost 35 gallon (Up to 2 tall kitchen bags) 20"" wide, 23"" deep, 39"" high $68.75 quarterly $275 annually 65 gallon (Up to 4 tall kitchen bags) 27"" wide, 28"" deep, 41"" high $93.25 quarterly $373 annually 95 gallon (up to 7 tall kitchen bags) 29"" wide, 33""",https://www.brooklinema.gov/3760/Cart-Purchase-Billing
Brookline,$93.25,"llon (Up to 2 tall kitchen bags) 20"" wide, 23"" deep, 39"" high $68.75 quarterly $275 annually 65 gallon (Up to 4 tall kitchen bags) 27"" wide, 28"" deep, 41"" high $93.25 quarterly $373 annually 95 gallon (up to 7 tall kitchen bags) 29"" wide, 33"" deep, 43"" high $119 quarterly $476 annually Refuse Accounts for Multi-Unit Building",https://www.brooklinema.gov/3760/Cart-Purchase-Billing
Brookline,$37,"l kitchen bags) 20"" wide, 23"" deep, 39"" high $68.75 quarterly $275 annually 65 gallon (Up to 4 tall kitchen bags) 27"" wide, 28"" deep, 41"" high $93.25 quarterly $373 annually 95 gallon (up to 7 tall kitchen bags) 29"" wide, 33"" deep, 43"" high $119 quarterly $476 annually Refuse Accounts for Multi-Unit Buildings Brookline co",https://www.brooklinema.gov/3760/Cart-Purchase-Billing
