municipality,hh_trash_served,trash_svc_type
Worcester,55000,Curbside
Brockton,26610,Curbside
Lawrence,26132,Curbside
Chicopee,18968,Curbside
Taunton,18431,Curbside
Malden,17100,Curbside
Attleboro,14612,Curbside
Gloucester,13750,Curbside
Brookline,13540,Curbside
Shrewsbury,10752,Curbside
Natick,10740,Curbside
Dartmouth,10456,Both
Marshfield,9578,Both
North Attleborough,8978,Both
Milton,8937,Curbside
Wareham,8745,Both
Somerset,7176,Curbside
Gardner,6763,Both
South Hadley,6500,Both
Swansea,6125,Curbside
Ashland,5728,Curbside
East Longmeadow,5725,Curbside
Scituate,5555,Drop-off
Longmeadow,5542,Curbside
Needham,5500,Drop-off
Duxbury,5357,Drop-off
Seekonk,5295,Curbside
Ipswich,5098,Curbside
Swampscott,5093,Curbside
Grafton,5062,Curbside
Greenfield,5048,Both
Northborough,5018,Curbside
Holliston,4623,Curbside
Maynard,4500,Curbside
Acton,4399,Drop-off
Clinton,4287,Curbside
Medway,4267,Both
Wrentham,4110,Curbside
Lunenburg,4060,Curbside
Brewster,3850,Drop-off
Concord,3842,Curbside
Wellfleet,3669,Drop-off
Norwell,3597,Curbside
Blackstone,3520,Curbside
Oak Bluffs,3417,Both
Rockport,3136,Drop-off
Hudson,3128,Both
Cohasset,3029,Drop-off
Dighton,2888,Curbside
Upton,2700,Curbside
Hamilton,2692,Curbside
Edgartown,2500,Drop-off
West Boylston,2476,Curbside
Montague,2424,Curbside
Topsfield,2345,Curbside
Manchester-by-the-Sea,2274,Both
Townsend,2255,Curbside
Plainville,2084,Curbside
Newbury,2012,Drop-off
Littleton,1792,Drop-off
Weston,1768,Drop-off
Becket,1752,Drop-off
Wilbraham,1726,Drop-off
Spencer,1680,Drop-off
Lakeville,1680,Drop-off
Hanson,1556,Drop-off
Pepperell,1500,Drop-off
Raynham,1462,Drop-off
Groton,1436,Drop-off
Norfolk,1378,Drop-off
Orange,1300,Drop-off
Deerfield,1275,Drop-off
Merrimac,1250,Curbside
Wenham,1207,Curbside
Ayer,1202,Drop-off
Berkley,1189,Drop-off
Harvard,1167,Drop-off
Sutton,1150,Drop-off
West Tisbury,1100,Drop-off
Williamstown,1043,Drop-off
Bolton,1020,Drop-off
Warren,1005,Drop-off
Southampton,955,Drop-off
Barre,949,Drop-off
East Brookfield,895,Both
Shutesbury,884,Curbside
Northfield,848,Drop-off
North Brookfield,847,Drop-off
Brookfield,734,Drop-off
Plympton,716,Drop-off
Shelburne,714,Drop-off
Bernardston,700,Drop-off
Conway,650,Drop-off
Cheshire,610,Drop-off
Colrain,600,Drop-off
Buckland,575,Drop-off
Gill,561,Curbside
Leverett,551,Drop-off
Ashfield,516,Drop-off
Whately,475,Drop-off
Charlemont,460,Drop-off
Phillipston,435,Drop-off
Russell,429,Drop-off
Hinsdale,413,Drop-off
Granville,390,Drop-off
Huntington,376,Drop-off
Westhampton,374,Drop-off
Petersham,358,Drop-off
Heath,337,Drop-off
Cummington,327,Drop-off
Warwick,323,Drop-off
Royalston,315,Drop-off
Worthington,308,Drop-off
Wendell,274,Drop-off
Chesterfield,267,Drop-off
Goshen,258,Drop-off
Aquinnah,250,Drop-off
Peru,249,Drop-off
New Salem,246,Drop-off
Plainfield,213,Drop-off
Chester,208,Drop-off
Windsor,206,Drop-off
Savoy,205,Drop-off
Rowe,196,Drop-off
